Name,Current Price,Old Price,URL
Bohemia Crystal - Crystal Hand-cut Drink Set 7 Pieces - Gold - 750ml & 350ml,"LE 6,145.00","LE 6,145.00",https://sheffieldegypt.com/products/bohemia-crystal-crystal-hand-cut-drink-set-7-pieces-gold-750ml-350ml
Bohemia Crystal - Crystal Drink Set 7 Pieces - Clear - 750ml & 230ml,"LE 3,190.00","LE 3,190.00",https://sheffieldegypt.com/products/bohemia-crystal-crystal-drink-set-7-pieces-clear-750ml-230ml-1
Bohemia Crystal - Crystal Drink Set 7 Pieces - Clear - 750ml & 250ml,"LE 1,980.00","LE 1,980.00",https://sheffieldegypt.com/products/bohemia-crystal-crystal-drink-set-7-pieces-clear-750ml-250ml
Bohemia Crystal - Crystal Drink Set 7 Pieces - Clear - 750ml & 230ml,"LE 1,980.00","LE 1,980.00",https://sheffieldegypt.com/products/bohemia-crystal-crystal-drink-set-7-pieces-clear-750ml-230ml
Bohemia Crystal - Highball & Tumbler Crystal Glass Set 12 Pieces - Silver - 300ml & 200ml,"LE 4,480.00","LE 4,480.00",https://sheffieldegypt.com/products/bohemia-crystal-highball-tumbler-crystal-glass-set-12-pieces-silver-300ml-200ml
Bohemia Crystal - Goblet Glass Set 6 Pcs - Gold - 220ml,"LE 1,335.00","LE 1,335.00",https://sheffieldegypt.com/products/bohemia-crystal-goblet-glass-set-6-pcs-gold-220ml
Bohemia Crystal - Brandy Glass Set 6 Pcs - Silver & Flowers - 380ml,"LE 3,555.00","LE 3,555.00",https://sheffieldegypt.com/products/bohemia-crystal-brandy-glass-set-6-pcs-silver-flowers-380ml
Bohemia Crystal - Jelly Glass Set 6 Pcs - Silver & Flowers - 200ml,"LE 3,555.00","LE 3,555.00",https://sheffieldegypt.com/products/bohemia-crystal-jelly-glass-set-6-pcs-silver-flowers-200ml
Bohemia Crystal - Brandy Glass Set 6 Pcs - Gold & Flowers - 380ml,"LE 3,555.00","LE 3,555.00",https://sheffieldegypt.com/products/bohemia-crystal-brandy-glass-set-6-pcs-gold-flowers-380ml
Bohemia Crystal - Jelly Glass Set 6 Pcs - Gold & Flowers - 200ml,"LE 3,555.00","LE 3,555.00",https://sheffieldegypt.com/products/bohemia-crystal-jelly-glass-set-6-pcs-gold-flowers-200ml
Bohemia Crystal - Tumbler Glass Set 6 Pcs - Gold - 300 ml,"LE 1,575.00","LE 1,575.00",https://sheffieldegypt.com/products/bohemia-crystal-tumbler-glass-set-6-pcs-gold-300-ml
Bohemia Crystal - Highball Glass Set 6 Pcs - Gold - 350 ml,"LE 1,420.00","LE 1,420.00",https://sheffieldegypt.com/products/bohemia-crystal-highball-glass-set-6-pcs-gold-350-ml
Bohemia Crystal - Goblet Glass Set 6 Pcs - Gold - 220 ml,"LE 1,575.00","LE 1,575.00",https://sheffieldegypt.com/products/bohemia-crystal-goblet-glass-set-6-pcs-gold-220-ml
Bohemia Crystal - Flute Glass Set 6 Pcs - Gold - 200 ml,"LE 1,420.00","LE 1,420.00",https://sheffieldegypt.com/products/bohemia-crystal-flute-glass-set-6-pcs-gold-200-ml
Bohemia Crystal - Jelly Glass Set 6 Pcs - Gold -180 ml,"LE 1,420.00","LE 1,420.00",https://sheffieldegypt.com/products/bohemia-crystal-jelly-glass-set-6-pcs-gold-180-ml
Bohemia Crystal - Brandy Glass Set 6 Pcs - Gold - 400ml,"LE 1,575.00","LE 1,575.00",https://sheffieldegypt.com/products/bohemia-crystal-brandy-glass-set-6-pcs-gold-400ml
Bohemia Crystal - Diamond Crystal Sandblasted Drink Set 7 Pcs - Gold - 650ml & 230ml,"LE 4,595.00","LE 4,595.00",https://sheffieldegypt.com/products/bohemia-crystal-diamond-sandblasted-tumbler-drink-set-7-pcs-gold-650ml-230ml
Bohemia Crystal - Diamond Sandblasted Tumbler Drink Set 7 Pcs - Silver - 650ml & 230ml,"LE 4,595.00","LE 4,595.00",https://sheffieldegypt.com/products/bohemia-crystal-diamond-sandblasted-tumbler-drink-set-7-pcs-silver
Bohemia Crystal - Flute Glass Set 6 Pcs - Silver - 200ml,"LE 2,115.00","LE 2,115.00",https://sheffieldegypt.com/products/bohemia-crystal-flute-glass-set-6-pcs-silver-200ml
Royal Alfredo - Soup Bowl With Ladle Silver & Gold - 4L,"LE 3,995.00","LE 3,995.00",https://sheffieldegypt.com/products/royal-alfredo-soup-bowl-with-ladle-silver-gold-4l
Royal Alfredo - Soup Bowl With Ladle Silver - 4L,"LE 3,495.00","LE 3,495.00",https://sheffieldegypt.com/products/royal-alfredo-soup-bowl-with-ladle-silver-4l
Mepra - Daily use Cutlery Set 30 Pcs - Silver - Stainless Steel,"LE 6,095.00","LE 6,095.00",https://sheffieldegypt.com/products/mepra-daily-use-cutlery-set-30-pcs-silver-1
